순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
273,278280,천보,"40,600","-2,800","-6.4","128,291","5,248,340,800","39,200","43,150","39,100","406,000,000,000","0.03","10,000,000",,,
274,003090,대웅,"6,950","-270","-3.7","246,162","1,704,247,900","6,520","7,160","6,520","404,086,761,000","0.03","58,141,980",,,
275,058820,CMG제약,"2,905","-125","-4.1","3,788,568","11,101,051,825","2,885","3,090","2,825","403,481,968,820","0.03","138,892,244",,,
276,103140,풍산,"14,150","-1,850","-11.6","203,602","2,889,076,450","14,500","15,200","13,900","396,543,533,700","0.03","28,024,278",,,
277,009970,영원무역홀딩스,"29,000","-3,200","-9.9","8,035","232,271,100","28,450","30,400","28,000","395,432,168,000","0.03","13,635,592",,,
278,210980,SK디앤디,"20,700","-1,050","-4.8","14,739","307,610,350","21,600","21,600","19,900","393,096,394,800","0.03","18,990,164",,,
279,039130,하나투어,"28,200","-1,000","-3.4","154,014","4,353,576,600","28,000","29,500","26,950","393,085,017,000","0.03","13,939,185",,,
280,041510,에스엠,"16,700","-2,750","-14.1","787,147","13,351,154,100","18,350","18,400","16,350","391,566,586,700","0.03","23,447,101",,,
281,066970,엘앤에프,"15,700","-1,100","-6.6","545,313","8,720,836,850","15,350","17,550","15,100","388,712,045,300","0.03","24,758,729",,,
282,097520,엠씨넥스,"21,750","-3,150","-12.6","1,715,112","37,812,681,750","22,700","23,250","21,000","388,530,733,500","0.03","17,863,482",,,
283,112610,씨에스윈드,"22,350","-600","-2.6","71,267","1,586,805,500","21,450","24,000","20,050","386,335,730,250","0.03","17,285,715",,,
284,085620,미래에셋생명,"2,175","-335","-13.4","382,456","868,423,410","2,275","2,365","2,090","385,010,211,075","0.03","177,016,189",,,
285,002350,넥센타이어,"3,900","-725","-15.7","483,446","1,914,443,460","4,200","4,200","3,865","380,904,720,300","0.03","97,667,877",,,
286,003850,보령제약,"8,550","-850","-9.0","459,287","4,012,706,690","8,750","9,000","8,400","377,910,000,000","0.03","44,200,000",,,
287,141080,레고켐바이오,"35,000","-3,550","-9.2","131,051","4,642,745,200","36,050","37,000","34,450","376,611,235,000","0.03","10,760,321",,,
288,064960,S&T모티브,"25,500","-2,000","-7.3","122,880","3,073,103,150","25,800","25,800","23,900","372,889,968,000","0.03","14,623,136",,,
289,001720,신영증권,"39,600","-3,300","-7.7","26,191","1,047,997,400","42,000","42,400","39,500","371,694,985,200","0.03","9,386,237",,,
290,035600,KG이니시스,"13,250","-1,250","-8.6","444,587","5,991,405,350","13,800","13,850","13,200","369,733,750,500","0.03","27,904,434",,,
291,034830,한국토지신탁,"1,460","-100","-6.4","993,166","1,460,992,795","1,520","1,520","1,435","368,634,275,800","0.03","252,489,230",,,
292,003380,하림지주,"3,920","-370","-8.6","358,402","1,390,926,325","3,985","4,180","3,765","366,850,056,160","0.03","93,584,198",,,
293,031390,녹십자셀,"30,100","-1,900","-5.9","471,136","14,311,473,950","29,500","31,400","29,300","364,545,615,000","0.03","12,111,150",,,
294,079550,LIG넥스원,"16,550","-850","-4.9","132,657","2,152,698,800","15,800","16,850","15,600","364,100,000,000","0.03","22,000,000",,,
295,001820,삼화콘덴서,"34,950","-3,300","-8.6","279,260","9,879,834,300","34,600","36,650","34,600","363,305,250,000","0.03","10,395,000",,,
296,008350,남선알미늄,"3,285","-35","-1.0","8,989,685","29,042,404,390","3,120","3,375","3,070","361,938,310,650","0.03","110,179,090",,,
297,145720,덴티움,"32,650","-50","-0.2","89,801","2,872,158,750","31,000","34,050","29,800","361,397,299,500","0.03","11,068,830",,,
298,033290,코웰패션,"3,975","-165","-4.0","367,860","1,464,276,160","3,850","4,135","3,830","359,738,430,150","0.03","90,500,234",,,
299,108230,톱텍,"9,400","-1,200","-11.3","3,977,402","40,994,733,130","10,250","11,000","9,400","357,418,503,000","0.03","38,023,245",,,
300,023890,한국아트라스비엑스,"39,000","-400","-1.0","612","23,854,950","39,350","39,400","38,500","356,850,000,000","0.03","9,150,000",,,
301,069080,웹젠,"10,100","-1,300","-11.4","824,743","8,637,568,050","10,600","10,850","10,100","356,639,928,400","0.03","35,310,884",,,
302,115390,락앤락,"6,580","-640","-8.9","384,829","2,545,109,450","6,750","6,890","6,420","356,547,828,000","0.03","54,186,600",,,
303,138080,오이솔루션,"33,500","-2,250","-6.3","407,368","13,788,405,600","34,100","35,100","32,650","355,907,182,500","0.03","10,624,095",,,
304,009450,경동나비엔,"27,850","-600","-2.1","46,454","1,269,392,100","26,650","27,900","26,250","354,795,353,500","0.03","12,739,510",,,
305,005180,빙그레,"36,000","-3,000","-7.7","52,682","1,887,546,350","36,000","36,800","35,050","354,644,676,000","0.03","9,851,241",,,
306,122870,와이지엔터테인먼트,"19,450","-1,900","-8.9","263,535","5,164,936,400","19,900","20,100","19,000","354,064,085,050","0.03","18,203,809",,,
307,268280,미원에스씨,"67,200","-1,000","-1.5","9,100","613,683,200","68,200","68,200","67,000","354,002,275,200","0.03","5,267,891",,,
308,078160,메디포스트,"22,500","-2,050","-8.4","224,635","5,119,673,000","23,300","23,650","22,300","351,401,445,000","0.03","15,617,842",,,
309,008490,서흥,"30,350","-2,900","-8.7","57,138","1,747,686,400","31,850","31,950","30,150","351,122,579,550","0.03","11,569,113",,,
310,005610,SPC삼립,"40,650","-3,050","-7.0","30,407","1,236,843,300","40,550","42,000","39,950","350,769,215,850","0.03","8,629,009",,,
